screen_name,cluster
Jimbo679,1
bill_macbeth,1
lancegregmason,1
capitalweather,1
WRIClimate,1
michelegeluso,1
iamdavidmiller,1
UNFCCC,1
BrunoTheBridge,1
pd48xizone,1
Arabeey_da_Boko,1
jojojojojoerizz,1
Midnightrider98,1
kingconor2001,1
terencecorcoran,1
ThisIsRobThomas,1
kircher_mike,1
urdadsbed,1
erasmusNYT,1
bopinion,1
Sozzinski,1
otaysaraaa,1
T_Bob_Corvus,1
noematik,1
charlesjaco1,1
sophiiieee__,1
SkyCloudzy,1
steph_mcgowan97,1
GottaLaff,1
HDSlogic,1
XR_Godalming,1
surrealkillers,1
clim8resistance,0
ideas42,1
BrighterGreenNY,1
RARohde,1
JimDabakis,1
lukehrees,1
OFHS_socpsych,1
momoriz786,1
Ahmed_Fizal,1
HighSeasAllianc,1
handoverheartt,1
PornoDan,1
rimshot5046,1
CDerkaz,1
SavBehrmannDC,1
deodelektrico,1
204aaron,1
blamefitz,1
JPvanYpersele,1
MarcoAnthonyJr,1
BearGrylls,1
GoldenTalon77,1
KathaIndia,1
newrepublic,0
Rene_Soderman,1
NeilSteinberg,1
aennfizanns,1
dtemkin,1
GUENGL,1
StudyatMEC,1
joimbow,1
ProfSchooner,1
Thongch34759935,0
purplesealion,1
connal99,1
motokorich,1
350,1
XrSouth,1
350SouthAsia,1
pcraindia,1
gabbymckenzi1,1
jacchyna,1
cholling13,1
koogiz,1
dgrwhippet,1
mauser98k2,1
binibiningroxan,1
mr_brown_tres,1
NickJ_Photo,1
concretemayor,1
LaurieThreeYear,1
peoplevsoil,1
pxwhittle,1
COCrowe,1
Jerry_MacEvilly,1
farmer_dj,1
jefemundo1,1
AftidT,1
BjornLomborg,1
PaulCon52258910,1
BearOzie,1
SmithsonianMag,1
PeterOB24979769,1
EtonAce,1
dontholdmetight,1
Credalytics,1
FernandoLeanme,1
AlviseArmellini,1
ScarlettDreams2,1
berniespofforth,1
tinyypussy,1
bjancaysabelle_,1
kidlit4climate,1
kthkthkthmill,1
NewHomesExpert1,1
thechance2b,1
james45609411,1
geowizzacist,1
Fansxpress,1
evandammm_,1
LesleyMillercyp,1
shags_12,1
goddersbloom,1
filmfare,1
unicefaustralia,1
skrillex_dad520,1
Komanovmulc,1
Afroscientist,1
corpseinorbit,1
okinawadartse,1
mustapipa,1
MattHanifan,1
Nizeitmyyute,1
keanusgf,1
FriendsOScience,0
erin_fortner,1
cashmoneyana,1
DavidBCollum,1
aambaar_,1
ThiessDmp,1
thehourslate,1
UvKLvr47,1
necrofamicom,1
newsbusters,1
hothotcocoa05,1
_lilybug99,1
Honesty4Libs,1
Petafeliciano,1
meg_wals,1
teddles1,1
dailyintel1,1
TracyRAnderson,1
Andrewemcameron,1
Captbobdad,1
BiionFN,1
no2typeb,1
shelleyshell4,1
PhilipGagne,1
hallerchase,1
profsked,1
REDHAIRAWSTEN,1
Julieoz836,1
TimothySnediker,1
myknittingwool,1
FrostbiteCaps,1
Kidsdoc1Rick,1
scottkirbytw,1
Gardeners4Pete,1
Quatr_us,1
KenfromTC,1
Burt_Carter,1
TIMENOUT,1
tommosk,1
alliecaldwell17,1
EthosLifestyle,1
BNDYEYO,1
ejnickson,1
826Maureen,1
mcgrath_a,1
AginKs,1
ritchietozier,1
CharlieBrownPro,1
kembro34,1
BaxterPeterba,1
ChristinesHaven,1
iTzMuscles,1
RepRoKhanna,1
moose7766,1
ProfPCDoherty,1
nzedxn,1
shanmustafa_yo,1
welfmkteam,1
incorrect_1997,1
rosiesoobin,1
alisonbflynn,1
iamkimberleeey,1
the_amish_txtr,1
hassan1a_,1
maryssaaaaaaaa,1
TheFlatEartherr,1
NelsonAlmUK,1
